remove,free,email,you,charExclamation,capitalAve,capitalTotal,type
0,0.32,1.29,1.93,0.778,3.756,278,spam
0.21,0.14,0.28,3.47,0.372,5.114,1028,spam
0.19,0.06,1.03,1.36,0.276,9.821,2259,spam
0.31,0.31,0,3.18,0.137,3.537,191,spam
0.31,0.31,0,3.18,0.135,3.537,191,spam
0,0,0,0,0,3,54,spam
0,0.96,0.32,3.85,0.164,1.671,112,spam
0,0,0,0,0,2.45,49,spam
0.3,0,0.15,1.23,0.181,9.744,1257,spam
0.38,0,0.12,1.67,0.244,1.729,749,spam
0.96,0,0.96,3.84,0.462,1.312,21,spam
0.25,0,0,1.16,0.663,1.243,184,spam
0,0.34,1.39,2.09,0.786,3.728,261,spam
0.9,0,0,2.72,0,2.083,25,spam
0,5.35,0,3.21,0.357,1.971,205,spam
0.42,1.27,0,1.7,0.572,5.659,249,spam
0,0,0,1.88,0.428,4.652,107,spam
0,0,0,0,1.975,35.461,461,spam
0.18,0,0.37,3.15,0.455,1.32,70,spam
0,0.63,3.18,2.22,0.055,3.509,186,spam
0,0,0,0,0.729,3.833,23,spam
0.15,0,0.13,2.09,0.25,2.569,2259,spam
0,2.94,0,0,0.809,4.857,34,spam
0,1.16,1.16,1.16,0.667,1.131,69,spam
0,0,0,0,0.392,5.466,82,spam
0.15,0,0.13,2.09,0.25,2.565,2258,spam
0,0,0,0,0.392,5.466,82,spam
1.66,0,0,3.33,0.368,2.611,47,spam
0,3.33,0,0,0.352,4,36,spam
0.65,0.65,0,1.3,0.091,2.687,129,spam
0,0,0,3.52,0.886,1.966,59,spam
0,3.03,0,0,2.112,3.909,43,spam
0,0.27,0,3.51,0,1.39,89,spam
0,0,4.83,4.83,0,1.7,17,spam
0,0,0,2.04,0,3.826,264,spam
0,0,0,5.12,1.543,2.777,25,spam
0,2.94,0,0,0.873,4.142,29,spam
0.48,0.48,0,2.43,0.488,5.431,239,spam
0,0.48,0.97,1.46,0.963,3.1,186,spam
0,0.41,0.83,2.08,0.75,3.851,285,spam
0,0,0.3,2.76,0.207,2.132,226,spam
0,2.94,0,0,0.671,4,28,spam
0,2.94,0,0,0.711,4,28,spam
0.18,0,0.37,3.15,0.426,1.283,68,spam
0.26,0.26,0.26,1.82,0.813,2.145,339,spam
0,0,0,4.07,1.318,5.301,774,spam
0.06,0,0.06,4.54,0.01,1.733,442,spam
0,4.97,0,3.48,0.17,1.468,94,spam
0.05,0.25,0.02,3.22,0.325,5.891,3040,spam
0.06,0.26,0.26,3.51,0.278,3.887,898,spam
0,0,0,1.92,0,2.75,33,spam
0.73,1.09,0.36,2.19,0.498,3.254,179,spam
0.38,0,0.12,1.67,0.244,1.732,750,spam
0,0,0,0,0.198,3.833,69,spam
0.73,1.1,0.36,2.2,0.5,3.259,176,spam
0,1.08,0,1.08,1.478,2,106,spam
1.04,0,0,3.66,0.615,3.318,146,spam
0,0,0,2.53,0,3.642,51,spam
0,0.45,0.91,1.36,1.501,2.777,200,spam
0,0.42,0.84,2.1,0.669,3.837,284,spam
0.59,0,1.18,1.77,0,8.586,249,spam
0,0.23,0,7.1,0.175,1.294,66,spam
0.93,1.39,0.46,0.93,0,1.442,75,spam
0.68,0.34,1.36,3.42,0.048,1.411,96,spam
0,0,0,4.1,0.019,1.714,180,spam
0,1.98,0,1.32,2.205,3.184,121,spam
0.48,0.48,0,0.97,0.589,4.85,194,spam
1.47,0,0,5.88,0.5,1.214,17,spam
0,2.15,0,5.53,1.053,3.884,303,spam
0,0,0,0,0,4.548,141,spam
2.53,0,0,2.53,0.537,72.5,290,spam
0,0.53,1.06,1.6,0.877,3.4,187,spam
0,0.44,0.89,2.24,0.807,3.849,281,spam
0.46,0.92,0.92,2.76,0.298,2.156,110,spam
0.48,0.48,0,2.41,0.486,5.13,236,spam
0,2.83,0,0.94,1.366,26.5,318,spam
0,0,0.59,4.14,0.165,2.325,100,spam
0,0.37,0.12,2.96,0.437,3.675,1066,spam
0.2,0.83,0,2.09,0.132,1.65,175,spam
0,0,5.26,5.26,0,1.666,10,spam
0,0,0,5.55,1.431,4.071,114,spam
0.23,0.23,0,2.38,0.197,5.038,519,spam
0,2.91,0.72,1.45,0.495,1.525,61,spam
0,1.28,0,2.56,0.724,3.071,43,spam
0,0,0,0,0.834,5.13,118,spam
0.46,1.86,0,0.93,0.571,4.63,213,spam
0,0.38,0.38,2.69,0.061,1.775,158,spam
0,0.79,1.58,3.96,0.268,2.815,107,spam
0,0.2,0,1.14,0.096,3.353,845,spam
0,0,0,0,0,3.8,38,spam
1.12,0.56,0,3.93,1.083,4.974,194,spam
0.05,0.26,0,3.25,0.322,6.1,3038,spam
0.03,0.22,0.07,3.43,0.613,7.3,2453,spam
0.03,0.22,0.07,3.43,0.612,7.3,2453,spam
0,0,0.46,2.77,0.082,3.4,102,spam
0.46,0,1.4,1.87,0,2.676,91,spam
0,1.05,0.7,2.11,1.284,3.639,313,spam
0,0.43,0.86,1.29,0.736,2.81,222,spam
0,0.6,0,1.21,0.31,4.897,191,spam
0,0.41,0.82,3.73,0.461,3.166,114,spam
0.7,2.83,0,4.96,0.38,1.153,30,spam
0,0.64,0,2.59,0.662,10.068,292,spam
0,0,0,0,1.529,5.5,66,spam
0,0.64,0,2.59,0.662,10.068,292,spam
0,0,0,0,1.529,5.5,66,spam
0,0.64,0,2.59,0.662,10.068,292,spam
0,0,0,0,1.529,5.5,66,spam
0,0.79,0,1.58,0.462,5.793,168,spam
0,0,0,0,1.529,5.5,66,spam
1.96,0,0,3.92,0,6.166,74,spam
2.46,2.46,0,0,1.907,1.285,36,spam
0,0,0,2.38,0,2.913,67,spam
0.76,0,0.76,1.52,0,3.836,211,spam
0,0,0.47,0.95,0,1.238,78,spam
0.12,0.25,0,2.9,0,4.155,507,spam
0,0.51,0,1.53,0.542,1.972,146,spam
0,0,0.5,1.55,0.054,2.37,588,spam
0,0,0.5,1.55,0.054,2.379,583,spam
2.56,0,0,2.56,0.542,102.666,308,spam
1.11,0.55,0,3.91,1.158,4.875,195,spam
0,0,0.5,1.55,0.054,2.37,588,spam
0,0,0.5,1.55,0.054,2.379,583,spam
0,0.23,0,3.08,0.335,7.202,2413,spam
0.16,0.16,0.8,0.16,0.271,5.709,982,spam
0.3,0,0,0.3,0.092,2.074,278,spam
0.33,0,0.33,2.18,1.194,5.567,657,spam
0,0,0,4.04,0.089,3.416,164,spam
0.59,0,0.59,4.76,0.427,10,170,spam
0.4,0,0.4,4,0.706,1.838,114,spam
0,0.41,0,7.05,0.97,32.142,450,spam
0.38,0.38,0,3.04,0.598,4.523,285,spam
0.4,0.4,0,4,0.121,1.979,95,spam
0,0.56,0,2.25,0.606,2.36,144,spam
0.16,0,0.16,1.6,0.299,1.891,174,spam
0,0,0,0,0.215,4,76,spam
0,0.98,0.39,0.59,0.16,2.128,730,spam
0,0.98,0.39,0.59,0.16,2.128,730,spam
0,0.66,0,2.33,0.12,5.428,304,spam
0,2.98,1.49,0,0,1.1,11,spam
0,0.82,0,1.65,0,1.769,69,spam
0,0.66,0,2.33,0.12,5.428,304,spam
1.58,0,0,1.58,0.558,3.272,36,spam
0,0.23,0,3.08,0.335,7.202,2413,spam
1.58,0,0,1.58,0.558,3.272,36,spam
0,2.77,4.16,4.16,0.715,1.181,13,spam
0,0,0,0,0.215,4.277,77,spam
0,0.66,0,2.33,0.12,5.428,304,spam
0.14,0.14,0.72,0.58,0.865,5.133,1001,spam
0,0,0,0.72,0.063,2.562,123,spam
0,0.81,0.27,2.17,0.565,1.617,131,spam
0,0,0.78,3.13,0.261,1.461,114,spam
