,Manufacturer,Price,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Weight
1,Acura,15.9,4,1.8,140,6300,2890,13.2,5,177,102,68,37,2705
2,Acura,33.9,6,3.2,200,5500,2335,18,5,195,115,71,38,3560
3,Audi,29.1,6,2.8,172,5500,2280,16.9,5,180,102,67,37,3375
4,Audi,37.7,6,2.8,172,5500,2535,21.1,6,193,106,70,37,3405
5,BMW,30,4,3.5,208,5700,2545,21.1,4,186,109,69,39,3640
6,Buick,15.7,4,2.2,110,5200,2565,16.4,6,189,105,69,41,2880
7,Buick,20.8,6,3.8,170,4800,1570,18,6,200,111,74,42,3470
8,Buick,23.7,6,5.7,180,4000,1320,23,6,216,116,78,45,4105
9,Buick,26.3,6,3.8,170,4800,1690,18.8,5,198,108,73,41,3495
10,Cadillac,34.7,8,4.9,200,4100,1510,18,6,206,114,73,43,3620
11,Cadillac,40.1,8,4.6,295,6000,1985,20,5,204,111,74,44,3935
12,Chevrolet,13.4,4,2.2,110,5200,2380,15.2,5,182,101,66,38,2490
13,Chevrolet,11.4,4,2.2,110,5200,2665,15.6,5,184,103,68,39,2785
14,Chevrolet,15.1,6,3.4,160,4600,1805,15.5,4,193,101,74,43,3240
15,Chevrolet,15.9,4,2.2,110,5200,2595,16.5,6,198,108,71,40,3195
16,Chevrolet,16.3,6,3.8,170,4800,1690,20,7,178,110,74,44,3715
17,Chevrolet,16.6,6,4.3,165,4000,1790,27,8,194,111,78,42,4025
18,Chevrolet,18.8,8,5,170,4200,1350,23,6,214,116,77,42,3910
19,Chevrolet,38,8,5.7,300,5000,1450,20,2,179,96,74,43,3380
20,Chrylser,18.4,6,3.3,153,5300,1990,18,6,203,113,74,40,3515
21,Chrysler,15.8,4,3,141,5000,2090,16,6,183,104,68,41,3085
22,Chrysler,29.5,6,3.3,147,4800,1785,16,6,203,110,69,44,3570
23,Dodge,9.2,4,1.5,92,6000,3285,13.2,5,174,98,66,32,2270
24,Dodge,11.3,4,2.2,93,4800,2595,14,5,172,97,67,38,2670
